"table_id","number_of_columns"
611,71
760,64
373,57
836,55
1025,50
109,48
523,48
103,48
1052,48
656,47
360,43
1521,43
1241,42
1583,41
1701,41
665,41
34,38
1395,37
378,35
1256,35
164,34
923,34
1330,34
1420,33
1238,33
716,33
1542,33
1665,32
853,32
684,32
507,30
948,30
959,30
131,30
1092,30
376,30
128,29
309,29
1221,29
894,28
1736,28
14,27
650,27
798,26
651,26
1134,26
1436,26
703,25
1101,25
58,25
1058,25
1370,25
515,25
1405,25
1672,25
336,25
1462,24
152,24
586,24
629,24
1349,24
1018,24
1001,23
307,23
735,23
720,23
1042,23
96,22
926,22
1054,22
519,22
1398,22
163,22
929,22
4,22
1208,22
1594,22
653,22
1416,22
1160,22
957,21
594,21
670,21
276,21
835,21
1242,21
581,21
1524,21
1142,20
153,20
746,20
855,20
1240,20
28,20
600,20
171,19
562,19
1601,19
1087,19
584,19
917,19
56,19
767,19
1293,19
825,19
92,19
763,18
721,18
1430,18
1558,18
1269,18
1442,18
1358,18
984,18
995,18
366,18
1629,18
719,18
10,18
1461,17
273,17
1236,17
1440,17
1579,17
937,17
1152,17
595,17
788,17
1111,17
1207,17
640,17
1283,17
1080,17
8,17
30,17
367,17
1117,17
1375,16
808,16
1632,16
1333,16
140,16
1580,16
970,16
1133,16
1336,16
320,16
1615,16
545,16
652,16
985,16
1274,16
167,16
114,16
355,16
83,16
859,16
1138,16
379,15
635,15
337,15
55,15
275,15
1313,15
297,15
174,15
672,15
535,15
156,15
1104,15
622,15
1757,15
1095,15
9,15
271,15
1309,15
1363,15
1428,15
1021,14
1161,14
1643,14
711,14
274,14
1409,14
1184,14
1548,14
13,14
885,14
1581,14
1412,14
1026,14
747,14
813,14
1102,14
112,14
1006,14
1338,14
1243,14
1479,14
1650,14
51,14
783,14
794,14
42,14
170,14
1235,14
1289,13
1033,13
1622,13
1259,13
1570,13
822,13
1218,13
1422,13
1197,13
1658,13
16,13
1048,13
123,13
524,13
1199,13
1467,13
1296,13
1724,13
1639,13
270,13
718,13
1265,13
1276,13
324,13
1287,13
1073,13
1406,13
127,13
773,13
1224,13
1139,13
251,12
861,12
1642,12
358,12
1321,12
1589,12
1172,12
1376,12
830,12
498,12
1121,12
713,12
918,12
1143,12
185,12
330,12
245,12
1015,12
1144,12
973,12
1198,12
952,12
1145,12
1445,12
1637,12
1552,12
268,12
588,12
1414,12
226,12
642,12
1125,12
7,12
792,12
1575,12
1607,12
686,12
782,12
1565,12
377,12
1148,12
1202,12
762,12
229,12
1063,12
1684,12
1010,12
1342,11
1278,11
904,11
284,11
572,11
668,11
33,11
583,11
754,11
1205,11
1633,11
842,11
499,11
821,11
1206,11
1602,11
1185,11
1453,11
907,11
1432,11
1014,11
121,11
1582,11
908,11
597,11
1079,11
1272,11
1572,11
384,11
267,11
1166,11
534,11
598,11
856,11
888,11
748,11
1114,11
60,11
1425,11
1200,11
18,11
1050,11
707,11
1725,11
345,11
827,11
644,11
137,11
335,11
1630,11
549,11
677,11
1567,10
1759,10
315,10
603,10
390,10
1717,10
819,10
1408,10
1760,10
182,10
958,10
1215,10
1611,10
551,10
679,10
370,10
1569,10
349,10
1388,10
162,10
264,10
552,10
712,10
1034,10
1527,10
1762,10
1645,10
745,10
1560,10
110,10
628,10
724,10
950,10
25,10
639,10
1154,10
1678,10
186,10
704,10
909,10
1337,10
374,10
630,10
1413,10
225,10
289,10
867,10
1584,10
1135,10
1435,10
695,10
804,10
1028,10
1253,10
1553,10
493,10
781,10
1136,10
1211,10
1447,10
29,10
1158,10
1426,10
1137,10
179,10
1019,10
126,10
623,10
1534,10
84,10
180,10
634,10
698,10
1737,10
389,10
106,10
304,10
1299,10
21,9
219,9
731,9
1246,9
1450,9
160,9
625,9
883,9
508,9
1771,9
1162,9
44,9
306,9
980,9
1729,9
221,9
381,9
1740,9
1163,9
1291,9
1623,9
173,9
1538,9
510,9
992,9
1421,9
1132,9
1667,9
993,9
554,9
972,9
1325,9
501,9
565,9
661,9
352,9
576,9
1090,9
1487,9
1711,9
331,9
1069,9
824,9
1381,9
385,9
1456,9
6,9
300,9
1531,9
1595,9
177,9
727,9
889,9
124,9
964,9
237,9
365,9
1532,9
1543,9
40,9
891,9
1180,9
1244,9
94,9
1170,9
1341,9
20,9
602,9
666,9
1277,9
1192,9
1288,9
1620,9
1748,9
914,9
1203,9
1267,9
1439,8
1727,8
667,8
989,8
1085,8
1674,8
1032,8
1525,8
1621,8
1685,8
43,8
75,8
305,8
369,8
529,8
22,8
1547,8
1739,8
1,8
647,8
905,8
1290,8
338,8
722,8
786,8
1237,8
87,8
119,8
605,8
1120,8
1280,8
1612,8
680,8
906,8
938,8
531,8
723,8
755,8
1077,8
1110,8
88,8
606,8
1281,8
35,8
777,8
1003,8
1400,8
1464,8
212,8
982,8
1078,8
1239,8
1411,8
351,8
961,8
1186,8
234,8
682,8
714,8
1036,8
1229,8
823,8
887,8
1540,8
1668,8
834,8
930,8
363,8
715,8
1005,8
1466,8
1754,8
1273,8
1477,8
1573,8
1765,8
27,8
91,8
155,8
187,8
257,8
321,8
931,8
1284,8
492,8
942,8
1167,8
343,8
857,8
1178,8
610,8
1285,8
1649,8
333,8
344,8
568,8
1082,8
1703,8
227,8
675,8
965,8
1029,8
1286,8
238,8
848,8
1169,8
1297,8
1329,8
1469,8
505,8
1083,8
1544,8
388,8
516,8
676,8
1030,8
1191,8
239,8
591,8
655,8
1470,8
346,8
1149,8
1245,8
1449,8
357,8
741,8
1031,8
1556,8
272,8
688,8
850,8
1107,8
1171,8
1331,8
1407,7
1471,7
1663,7
149,7
1053,7
1610,7
32,7
614,7
840,7
936,7
1129,7
1257,7
11,7
657,7
689,7
753,7
1011,7
86,7
118,7
150,7
604,7
1247,7
1483,7
161,7
231,7
295,7
327,7
359,7
615,7
743,7
809,7
1130,7
1750,7
76,7
1377,7
183,7
285,7
831,7
232,7
810,7
1366,7
1591,7
211,7
1302,7
1378,7
1698,7
184,7
574,7
638,7
734,7
928,7
1153,7
3,7
1592,7
142,7
756,7
1175,7
1271,7
1475,7
1603,7
1731,7
1763,7
319,7
511,7
833,7
897,7
266,7
362,7
522,7
844,7
1561,7
1657,7
175,7
341,7
757,7
1476,7
1764,7
288,7
512,7
802,7
962,7
1391,7
1679,7
101,7
165,7
235,7
555,7
587,7
877,7
1326,7
1626,7
920,7
1177,7
1305,7
673,7
1059,7
1124,7
1488,7
1520,7
556,7
1070,7
145,7
247,7
1382,7
1446,7
1638,7
1670,7
1734,7
868,7
932,7
1317,7
1489,7
1713,7
301,7
749,7
943,7
1168,7
1596,7
1628,7
146,7
504,7
890,7
1275,7
1415,7
125,7
157,7
189,7
323,7
837,7
1318,7
1554,7
1618,7
654,7
816,7
1340,7
1533,7
147,7
281,7
633,7
987,7
260,7
1319,7
1491,7
1587,7
169,7
527,7
687,7
751,7
881,7
1266,7
1726,7
52,7
1213,7
1417,7
31,7
517,7
1096,7
1652,7
1503,6
1599,6
347,6
1118,6
1150,6
1214,6
1310,6
1482,6
1514,6
1546,6
294,6
582,6
710,6
1000,6
1193,6
1749,6
593,6
785,6
851,6
1043,6
1343,6
540,6
636,6
732,6
796,6
990,6
1451,6
1707,6
873,6
1226,6
1590,6
1718,6
658,6
820,6
916,6
1012,6
1076,6
669,6
927,6
2,6
66,6
520,6
744,6
1227,6
1463,6
1495,6
45,6
371,6
627,6
981,6
1013,6
1045,6
1666,6
1730,6
222,6
542,6
702,6
832,6
864,6
896,6
960,6
1024,6
1549,6
1709,6
681,6
939,6
1035,6
1196,6
1292,6
1752,6
46,6
500,6
596,6
1346,6
255,6
607,6
801,6
1089,6
1454,6
1646,6
68,6
778,6
1401,6
1529,6
1689,6
1721,6
143,6
983,6
1047,6
1304,6
1380,6
1444,6
122,6
154,6
544,6
1123,6
1251,6
37,6
69,6
133,6
199,6
1294,6
1498,6
246,6
342,6
502,6
726,6
513,6
1027,6
1156,6
1220,6
1616,6
70,6
200,6
364,6
910,6
1371,6
1627,6
311,6
375,6
599,6
791,6
921,6
1049,6
258,6
386,6
900,6
1617,6
1745,6
589,6
1232,6
1264,6
1328,6
1372,6
1468,6
1660,6
858,6
986,6
1115,6
1307,6
1383,6
643,6
739,6
1126,6
1222,6
1490,6
1522,6
1682,6
136,6
168,6
334,6
912,6
1201,6
1373,6
1597,6
1693,6
697,6
1308,6
158,6
838,6
934,6
1223,6
1362,6
1427,6
1523,6
1651,6
1715,6
1747,6
945,6
282,6
314,6
538,6
570,6
828,6
1084,6
1481,6
1545,6
1769,6
95,6
325,6
645,6
839,6
871,6
903,6
935,6
138,6
560,6
1535,5
181,5
283,5
699,5
829,5
925,5
1706,5
1738,5
64,5
262,5
742,5
774,5
872,5
968,5
1064,5
1097,5
241,5
497,5
1075,5
1204,5
1268,5
1300,5
1504,5
1568,5
1728,5
252,5
348,5
700,5
1183,5
1354,5
1387,5
1675,5
775,5
969,5
1194,5
1258,5
1365,5
209,5
690,5
1044,5
1109,5
1173,5
1344,5
253,5
637,5
733,5
863,5
1023,5
1055,5
1248,5
130,5
648,5
776,5
874,5
1002,5
1195,5
1323,5
1334,5
1719,5
77,5
787,5
1174,5
1345,5
24,5
120,5
318,5
350,5
1741,5
265,5
329,5
811,5
875,5
971,5
1067,5
1100,5
1260,5
1367,5
1496,5
1528,5
1688,5
372,5
1379,5
1507,5
1539,5
383,5
575,5
865,5
1057,5
1122,5
1282,5
1314,5
1550,5
36,5
298,5
812,5
1004,5
1068,5
1368,5
1433,5
1497,5
1593,5
919,5
1112,5
1508,5
1636,5
1732,5
26,5
256,5
608,5
1219,5
1423,5
1519,5
1551,5
1647,5
1230,5
1262,5
1434,5
1690,5
48,5
144,5
310,5
662,5
758,5
1209,5
1348,5
1669,5
353,5
705,5
963,5
1252,5
1744,5
38,5
166,5
846,5
974,5
1231,5
1295,5
1563,5
1691,5
1723,5
17,5
759,5
953,5
1210,5
1478,5
1702,5
188,5
290,5
322,5
354,5
674,5
706,5
39,5
135,5
525,5
847,5
879,5
911,5
975,5
1500,5
50,5
632,5
826,5
922,5
1767,5
259,5
387,5
933,5
1458,5
1746,5
203,5
494,5
526,5
558,5
750,5
976,5
1105,5
1501,5
569,5
601,5
729,5
955,5
1448,5
1576,5
62,5
356,5
548,5
580,5
612,5
708,5
966,5
1127,5
1255,5
1619,5
1683,5
105,5
495,5
559,5
817,5
977,5
1234,5
1374,5
1502,5
1598,5
1758,5
250,5
506,5
730,5
860,5
956,5
159,5
192,5
261,5
1128,5
1396,5
368,5
978,5
1631,4
1695,4
85,4
893,4
1418,4
1578,4
1770,4
230,4
326,4
518,4
646,4
678,4
1225,4
1364,4
1493,4
107,4
915,4
979,4
1108,4
1140,4
1472,4
1536,4
54,4
316,4
380,4
1086,4
1279,4
1515,4
97,4
1098,4
108,4
530,4
884,4
1141,4
1301,4
1441,4
1473,4
1505,4
23,4
317,4
509,4
1312,4
1676,4
1772,4
98,4
1066,4
1099,4
1131,4
1559,4
339,4
563,4
949,4
1506,4
254,4
286,4
1056,4
1249,4
1356,4
1613,4
1677,4
521,4
617,4
1164,4
1228,4
1335,4
1624,4
244,4
564,4
1571,4
1699,4
671,4
1250,4
1518,4
1614,4
1742,4
100,4
618,4
1261,4
1465,4
1753,4
15,4
111,4
1700,4
90,4
224,4
736,4
994,4
1187,4
1315,4
5,4
299,4
683,4
1530,4
1722,4
80,4
176,4
278,4
566,4
694,4
790,4
1113,4
1509,4
59,4
609,4
737,4
1316,4
1424,4
332,4
878,4
1499,4
1659,4
1755,4
49,4
81,4
113,4
215,4
503,4
1017,4
1306,4
1510,4
1766,4
514,4
578,4
738,4
1060,4
1157,4
1189,4
1393,4
1681,4
71,4
201,4
621,4
685,4
717,4
815,4
1339,4
1404,4
1692,4
1756,4
82,4
280,4
1179,4
1511,4
1735,4
93,4
1094,4
1190,4
1254,4
1394,4
1586,4
1714,4
72,4
104,4
302,4
590,4
880,4
1072,4
1661,4
19,4
115,4
537,4
761,4
1116,4
1212,4
1351,4
1384,4
1480,4
1512,4
1640,4
1768,4
740,4
998,4
1459,4
849,4
1041,4
1298,4
1566,4
1694,4
116,4
148,4
892,4
1020,4
1181,4
1352,4
1385,4
1513,4
1577,4
613,4
709,4
807,4
1460,4
1588,4
1716,4
240,4
496,4
784,4
946,4
1074,4
53,3
117,3
411,3
443,3
475,3
1182,3
422,3
454,3
486,3
550,3
1332,3
1397,3
401,3
433,3
465,3
1600,3
220,3
412,3
444,3
476,3
862,3
1151,3
195,3
263,3
423,3
455,3
487,3
841,3
1065,3
1494,3
1526,3
242,3
402,3
434,3
466,3
852,3
413,3
445,3
477,3
1216,3
1452,3
1484,3
1644,3
1708,3
196,3
296,3
392,3
424,3
456,3
488,3
1655,3
1687,3
1751,3
403,3
435,3
467,3
659,3
691,3
382,3
414,3
446,3
478,3
1485,3
1517,3
361,3
393,3
425,3
457,3
489,3
553,3
843,3
1324,3
1656,3
1720,3
308,3
340,3
404,3
436,3
468,3
692,3
886,3
1635,3
415,3
447,3
479,3
543,3
1486,3
198,3
394,3
426,3
458,3
490,3
876,3
1165,3
1625,3
47,3
405,3
437,3
469,3
951,3
1604,3
416,3
448,3
480,3
866,3
1155,3
1455,3
1743,3
395,3
427,3
459,3
491,3
619,3
779,3
1562,3
214,3
406,3
438,3
470,3
1605,3
417,3
449,3
481,3
1091,3
1188,3
1648,3
1680,3
1712,3
396,3
428,3
460,3
780,3
814,3
1103,3
1403,3
279,3
407,3
439,3
471,3
567,3
631,3
1146,3
1574,3
1606,3
418,3
450,3
482,3
546,3
996,3
1360,3
1585,3
397,3
429,3
461,3
1007,3
1039,3
1071,3
178,3
248,3
408,3
440,3
472,3
696,3
728,3
954,3
1350,3
291,3
419,3
451,3
483,3
579,3
869,3
901,3
997,3
1361,3
398,3
430,3
462,3
944,3
1040,3
1233,3
409,3
441,3
473,3
1608,3
420,3
452,3
484,3
902,3
1062,3
1159,3
41,3
399,3
431,3
463,3
913,3
410,3
442,3
474,3
1609,3
1641,3
1673,3
293,3
421,3
453,3
485,3
206,3
400,3
432,3
464,3
528,3
592,3
571,2
795,2
1353,2
1386,2
193,2
1429,2
1557,2
1653,2
208,2
561,2
1664,2
1696,2
1119,2
1311,2
65,2
129,2
391,2
1322,2
1654,2
172,2
626,2
1537,2
1697,2
1761,2
573,2
701,2
895,2
991,2
1355,2
328,2
616,2
141,2
243,2
1270,2
1410,2
1474,2
1634,2
799,2
1088,2
1217,2
67,2
99,2
197,2
233,2
585,2
649,2
78,2
660,2
854,2
1046,2
1443,2
57,2
223,2
287,2
1357,2
1390,2
1710,2
132,2
79,2
213,2
277,2
693,2
725,2
789,2
1176,2
1347,2
845,2
941,2
1037,2
1402,2
1016,2
1541,2
1733,2
577,2
641,2
769,2
803,2
899,2
1392,2
102,2
134,2
236,2
620,2
1038,2
1263,2
1327,2
663,2
1081,2
1457,2
557,2
1564,2
312,2
664,2
1147,2
1671,2
61,2
805,2
1061,2
1437,2
217,2
249,2
793,2
1051,2
1704,2
228,2
292,2
806,2
870,2
1555,2
1106,2
1438,2
1662,2
924,2
988,2
1705,2
63,2
967,2
999,2
624,2
752,2
818,2
882,2
539,1
139,1
947,1
764,1
1022,1
1419,1
1686,1
12,1
151,1
541,1
765,1
1516,1
1399,1
1431,1
766,1
1389,1
532,1
1303,1
89,1
940,1
533,1
768,1
898,1
1359,1
770,1
269,1
216,1
536,1
547,1
771,1
1008,1
313,1
191,1
772,1
73,1
204,1
303,1
1009,1
218,1
1320,1
1492,1
74,1
